,text,score
1,calling all creators,0
2,new icon jersey,0
3,blades fans take on fans in the cold blooded penalty challenge on the pitch at half time of tuesday’s game for…,0
4,no better way to end my week than to come home to these beauties shoutout to the homie for hooking me up and…,1
5,good morning ,1
6,wakanda forever ,0
7,team sports welcomes pelham schools to adidas proud to be a part panther nation is,1
8,pharrell x adidas tennis hu scarlet red march tomorrow …,0
9,"how’s this for a prize ahead of this weekend’s i have this amazing orlando pirates signed jersey to give a…",2
10,no better way to end my week than to come home to these beauties shoutout to the homie for hookin…,1
11,the moment we ve all been waiting for the experts over at give their review of our primary kit …,0
12,"world x equality pharrelll hu holi nmd trail “blank canvas”",0
13,houston we have a problem you must have beautiful eyes ,0
14,"all black everything the new nite crawler tango available now",1
15,present the secondary kit in very suboptimal fashion ,0
16,coerver blog coerver ew work with adidas uk tango league champions on wednesday we spent the day with at …,1
17,lacing up new boots gt gt gt gt gt,0
18,impacting our young prospects on amp off the court this spring and summer through our education curriculum community serv…,0
19,will be hosting the national premier leagues nsw season launch …,1
20,support the arts great to meet the very cool amp talented at …,4
21,pharrell x adidas nmd human race pink glow march https …,1
22,"the colors the words the stripes review our secondary kit",0
23,practice makes perfect ,1
24,introducing nite crawler pack and available now at…,1
25,happy friday everyone ,1
26,ballhandling drill shamgod ,0
27,free enter to win via ig rt pls ,2
28,"all black everything 
introducing the new nite crawler pack from the stadium to the street",0
29,one more sleep ,0
30,i ll repeat u everyday most beautiful amp charming woman on earth …,2
31,the pharrell x adidas tennis hu scarlet red is now available …,1
32,the pharrell x adidas tennis hu bright green is now available …,2
33,"all black everything the nite crawler tango available now",1
34,happy time with my girl at the adidas shop ,1
35,the pharrell x adidas tennis hu bright yellow is now available …,2
36,all black everything online now,0
37,the pharrell x adidas tennis hu bright blue is now available …,2
38,new season steez adi squad repping,0
39,hometown glory,1
40,working for the next match ,0
41,first match ahead ,0
42,hard earned victory at cagliari ,0
43,forzaaaaaa milaaaaaan  crucial home win good battling performance from everyone ,2
44,i should have scored a goal in the nd half but nevertheless we re still in the race for the cup final let s do thi…,0
45,guess this pic says it all ,0
46,great win  great team effort ,3
47, without a doubt a well deserved home victory for us ,1
48,in case you missed it big night for in his last playoff game he had pts from the field ft…,-1
49,"topical references banter baldness this review of our secondary jersey has it all …",0
50,impacting our young prospects on amp off the court this spring and summer through our education curriculum community…,0
51,"the ultimate stage awaits leo messi is",0
52,got that new logo you guys were looking for thanks for the design opportunity …,0
53,more playoff style performances pg and do it all stud who…,0
54,more playoff style performances pg and do it all stud …,0
55,"more than a jersey review union’s primary kit htt…",0
56,"the quasar 

 x x",0
57,"watch me create 
 by leo messi",0
58,in case you missed it big night for in his last playoff game he had pts from the field …,-1
59,long live high risk tolerance,-1
60,shoutout to for gearing me up and making sure i look this weekend at ,0
61,derby fever  good luck and the gents on saturday …,1
62,the moment we ve all been waiting for the experts over at give their review of our primary ki…,0
63,made for la built for speed ,0
64,coerver blog coerver ew work with adidas uk tango league champions on wednesday we spent the day with…,1
65,the spring summer is in the works with points r blks in lewis palmer…,1
66,represent against in the cold blooded penalty challenge on the pitch at half time of tuesday s game for the…,-2
67,and visited the market street store recently before flying off on tour later today …,0
68,the new nite crawler pack form is available now at soccerloco which one is your favorite …,2
69,adidas creator id campaign featuring ,0
70,"the captain prepares to lead his country leo messi introduces the home jersey exclusively…",1
71,"centurion european goals for the greatest of all time",1
72,"leo messi lands in moscow next stop the ",0
73,presenting the unity jersey as described by ,1
74,"agility the leo messi way the new skystalker available now",2
