"","mygirls"
"1","RT @gimmesseom: “#ioi #mygirls #lovethemsomuch”

IM CRYING https://t.co/eiihYpwji4"
"2","still my two favorite.... 4everbrandy jsullivanmusic #mygirls #fave… https://t.co/DW9WSKBw6u"
"3","Riley and Maya went to France <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> without Cory and Topanga like Riley wanted in Game Night <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #mygirls #GMW https://t.co/wNiOo11vQe"
"4","RT @cmc91198: Wouldn’t wanna be weird with anyone else<ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> #mygirls https://t.co/TcGeeSLtu4"
"5","RT @ProvanTony: No school so it’s a Provan selfie <ed><U+00A0><U+00BE><ed><U+00B4><U+00B3> #MyGirls #MyWorld <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> https://t.co/OAuKtrNGyY"
"6","RT @brexoadams: Seeing my fav OG camgirls from the studio tonight! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #mygirls"
"7","RT @brexoadams: Seeing my fav OG camgirls from the studio tonight! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #mygirls"
"8","RT @brexoadams: Seeing my fav OG camgirls from the studio tonight! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #mygirls"
"9","RT @brexoadams: Seeing my fav OG camgirls from the studio tonight! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #mygirls"
"10","Seeing my fav OG camgirls from the studio tonight! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #mygirls"
"11","Our pile of mussel shells vs the girls pile. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #TonightsDinner #MyGirls… https://t.co/K8MigQn9eV"
"12","Well I'm sold. #IWasSoldAnyway #MyGirls #ItsYourBoi https://t.co/mzAwT57vmB"
"13","Find your clan. Love them hard. #mygirls #birthdaygirl still celebrating #bestie #olderwiser… https://t.co/OXBPag9Fge"
"14","Cousins <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> #kenleeandcharlotte #mydaughterandniece #mygirls #lovethem #lovevacation #3months #4years https://t.co/NNHIEElelW"
"15","Sometimes I have to pinch myself...I’m one lucky guy #mygirls https://t.co/9yoJTX97IC"
"16","RT @gimmesseom: “#ioi #mygirls #lovethemsomuch”

IM CRYING https://t.co/eiihYpwji4"
"17","Sofia is making them play weddings #mygirls #sisters https://t.co/ivxS8teglb"
"18","Another weekend to spend with these #myfavourites #mygirls… https://t.co/xVq8bwTh42"
"19","RT @gimmesseom: “#ioi #mygirls #lovethemsomuch”

IM CRYING https://t.co/eiihYpwji4"
"20","RT @gimmesseom: “#ioi #mygirls #lovethemsomuch”

IM CRYING https://t.co/eiihYpwji4"
